Motif	Domain	Interaction Domain Description	Interaction Domain Name
3DID_Arm_LIG_1-25	PF00514	Arm	Arm
3DID_Arm_LIG_1-49	PF00514	Arm	Arm
3DID_Arm_LIG_1-7	PF00514	Arm	Arm
3DID_Arm_LIG_2-0	PF00514	Arm	Arm
3DID_Arm_LIG_2-1	PF00514	Arm	Arm
3DID_Arm_LIG_2-10	PF00514	Arm	Arm
3DID_Arm_LIG_2-11	PF00514	Arm	Arm
3DID_Arm_LIG_2-12	PF00514	Arm	Arm
3DID_Arm_LIG_2-13	PF00514	Arm	Arm
3DID_Arm_LIG_2-2	PF00514	Arm	Arm
3DID_Arm_LIG_2-20	PF00514	Arm	Arm
3DID_Arm_LIG_2-21	PF00514	Arm	Arm
3DID_Arm_LIG_2-24	PF00514	Arm	Arm
3DID_Arm_LIG_2-3	PF00514	Arm	Arm
3DID_Arm_LIG_2-4	PF00514	Arm	Arm
3DID_Arm_LIG_2-6	PF00514	Arm	Arm
3DID_Arm_LIG_2-65	PF00514	Arm	Arm
3DID_Arm_LIG_2-69	PF00514	Arm	Arm
3DID_Arm_LIG_2-7	PF00514	Arm	Arm
3DID_Arm_LIG_3-0	PF00514	Arm	Arm
3DID_Arm_LIG_3-1	PF00514	Arm	Arm
3DID_Arm_LIG_3-12	PF00514	Arm	Arm
3DID_Arm_LIG_3-19	PF00514	Arm	Arm
3DID_Arm_LIG_3-2	PF00514	Arm	Arm
3DID_Arm_LIG_4-0	PF00514	Arm	Arm
3DID_Arm_LIG_4-1	PF00514	Arm	Arm
3DID_Arm_LIG_4-15	PF00514	Arm	Arm
3DID_Arm_LIG_4-2	PF00514	Arm	Arm
3DID_Arm_LIG_4-3	PF00514	Arm	Arm
3DID_Arm_LIG_4-8	PF00514	Arm	Arm
3DID_Arm_LIG_5-0	PF00514	Arm	Arm
3DID_Arm_LIG_5-1	PF00514	Arm	Arm
3DID_Arm_LIG_5-4	PF00514	Arm	Arm
3DID_Arm_LIG_5-5	PF00514	Arm	Arm
3DID_Arm_LIG_6-0	PF00514	Arm	Arm
3DID_Arm_LIG_6-1	PF00514	Arm	Arm
3DID_Arm_LIG_6-12	PF00514	Arm	Arm
3DID_Arm_LIG_6-13	PF00514	Arm	Arm
3DID_Arm_LIG_6-14	PF00514	Arm	Arm
3DID_Arm_LIG_6-2	PF00514	Arm	Arm
3DID_Arm_LIG_6-26	PF00514	Arm	Arm
3DID_Arm_LIG_6-4	PF00514	Arm	Arm
3DID_Arm_LIG_6-76	PF00514	Arm	Arm
3DID_Arm_LIG_6-77	PF00514	Arm	Arm
3DID_Arm_LIG_6-8	PF00514	Arm	Arm
3DID_Arm_LIG_7-0	PF00514	Arm	Arm
3DID_Arm_LIG_7-1	PF00514	Arm	Arm
3DID_Arm_LIG_7-2	PF00514	Arm	Arm
3DID_Arm_LIG_7-24	PF00514	Arm	Arm
3DID_Arm_LIG_7-9	PF00514	Arm	Arm
3DID_Arm_LIG_8-2	PF00514	Arm	Arm
3DID_Asp_LIG_2-0	PF00026	Asp	Asp
3DID_Asp_LIG_2-1	PF00026	Asp	Asp
3DID_Asp_LIG_2-2	PF00026	Asp	Asp
3DID_Asp_LIG_2-4	PF00026	Asp	Asp
3DID_B56_LIG_0-0	PF01603	B56	B56
3DID_B56_LIG_0-1	PF01603	B56	B56
3DID_B56_LIG_0-8	PF01603	B56	B56
3DID_BAH_LIG_0-0	PF01426	BAH	BAH
3DID_BAH_LIG_0-2	PF01426	BAH	BAH
3DID_BAH_LIG_0-4	PF01426	BAH	BAH
3DID_BET_LIG_2-0	PF17035	BET	BET
3DID_BET_LIG_2-1	PF17035	BET	BET
3DID_BET_LIG_2-9	PF17035	BET	BET
3DID_BIR_LIG_2-0	PF00653	BIR	BIR
3DID_BIR_LIG_2-2	PF00653	BIR	BIR
3DID_BIR_LIG_2-3	PF00653	BIR	BIR
3DID_BRCT_LIG_0-0	PF00533	BRCT	BRCT
3DID_BRCT_LIG_1-0	PF00533	BRCT	BRCT
3DID_BRCT_LIG_2-0	PF00533	BRCT	BRCT
3DID_BRCT_LIG_2-11	PF00533	BRCT	BRCT
3DID_BRCT_LIG_2-12	PF00533	BRCT	BRCT
3DID_BRCT_LIG_2-5	PF00533	BRCT	BRCT
3DID_BRCT_LIG_2-9	PF00533	BRCT	BRCT
3DID_BRCT_LIG_4-0	PF00533	BRCT	BRCT
3DID_BRO1_LIG_1-0	PF03097	BRO1	BRO1
3DID_BRO1_LIG_5-0	PF03097	BRO1	BRO1
3DID_BTB_2_LIG_0-0	PF02214	BTB_2	BTB_2
3DID_BTB_2_LIG_1-0	PF02214	BTB_2	BTB_2
3DID_BTB_LIG_2-0	PF00651	BTB	BTB
3DID_BTB_LIG_2-1	PF00651	BTB	BTB
3DID_Bcl-2_LIG_10-0	PF00452	Bcl-2	Bcl-2
3DID_Branch_LIG_0-0	PF02485	Branch	Branch
3DID_Branch_LIG_0-2	PF02485	Branch	Branch
3DID_Brix_LIG_2-0	PF04427	Brix	Brix
3DID_Bromodomain_LIG_2-0	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-1	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-2	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-4	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-5	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-6	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-64	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-71	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-74	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-80	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-81	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-85	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-89	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-91	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_2-92	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_6-0	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_6-17	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_6-18	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_6-2	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_6-58	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_6-7	PF00439	Bromodomain	Bromodomain
3DID_Bromodomain_LIG_6-71	PF00439	Bromodomain	Bromodomain
3DID_C1-set_LIG_1-0	PF07654	C1-set	C1-set
3DID_C1-set_LIG_20-0	PF07654	C1-set	C1-set
3DID_C1-set_LIG_20-1	PF07654	C1-set	C1-set
3DID_C1-set_LIG_5-0	PF07654	C1-set	C1-set
3DID_C1-set_LIG_8-0	PF07654	C1-set	C1-set
3DID_C1-set_LIG_8-1	PF07654	C1-set	C1-set
3DID_C1-set_LIG_8-3	PF07654	C1-set	C1-set
3DID_CAF1C_H4-bd_LIG_0-0	PF12265	CAF1C_H4-bd	CAF1C_H4-bd
3DID_CAF1C_H4-bd_LIG_0-1	PF12265	CAF1C_H4-bd	CAF1C_H4-bd
3DID_CAF1C_H4-bd_LIG_0-3	PF12265	CAF1C_H4-bd	CAF1C_H4-bd
3DID_CAF1C_H4-bd_LIG_1-0	PF12265	CAF1C_H4-bd	CAF1C_H4-bd
3DID_CBFB_NFYA_LIG_0-0	PF02045	CBFB_NFYA	CBFB_NFYA
3DID_CBFB_NFYA_LIG_0-17	PF02045	CBFB_NFYA	CBFB_NFYA
3DID_CBFB_NFYA_LIG_0-43	PF02045	CBFB_NFYA	CBFB_NFYA
3DID_CBFB_NFYA_LIG_0-5	PF02045	CBFB_NFYA	CBFB_NFYA
3DID_CBF_beta_LIG_0-0	PF02312	CBF_beta	CBF_beta
3DID_CBF_beta_LIG_0-1	PF02312	CBF_beta	CBF_beta
3DID_CBF_beta_LIG_1-0	PF02312	CBF_beta	CBF_beta
3DID_CC2-LZ_LIG_0-0	PF16516	CC2-LZ	CC2-LZ
3DID_CC2-LZ_LIG_0-4	PF16516	CC2-LZ	CC2-LZ
3DID_CDC48_2_LIG_0-0	PF02933	CDC48_2	CDC48_2
3DID_CDC48_2_LIG_1-0	PF02933	CDC48_2	CDC48_2
3DID_CED4_WHD_LIG_0-0	PF22094	CED4_WHD	CED4_WHD
3DID_CED4_WHD_LIG_0-1	PF22094	CED4_WHD	CED4_WHD
3DID_CED4_WHD_LIG_0-2	PF22094	CED4_WHD	CED4_WHD
3DID_CED4_WHD_LIG_0-3	PF22094	CED4_WHD	CED4_WHD
3DID_CENP-N_LIG_2-0	PF05238	CENP-N	CENP-N
3DID_CENP-R_LIG_2-0	PF06729	CENP-R	CENP-R
3DID_CENP-T_C_LIG_5-0	PF15511	CENP-T_C	CENP-T_C
3DID_CENP-T_C_LIG_5-1	PF15511	CENP-T_C	CENP-T_C
3DID_CENP-T_C_LIG_5-2	PF15511	CENP-T_C	CENP-T_C
3DID_CH_LIG_2-0	PF00307	CH	CH
3DID_CH_LIG_2-2	PF00307	CH	CH
3DID_CID_LIG_0-0	PF04818	CID	CID
3DID_CID_LIG_0-3	PF04818	CID	CID
3DID_CID_LIG_0-6	PF04818	CID	CID
3DID_CID_LIG_0-8	PF04818	CID	CID
3DID_CID_LIG_3-0	PF04818	CID	CID
3DID_CID_LIG_3-2	PF04818	CID	CID
3DID_COX5A_LIG_0-0	PF02284	COX5A	COX5A
3DID_COX5A_LIG_2-0	PF02284	COX5A	COX5A
3DID_COX5B_LIG_2-0	PF01215	COX5B	COX5B
3DID_COX5B_LIG_2-1	PF01215	COX5B	COX5B
3DID_CSN7a_helixI_LIG_0-0	PF18392	CSN7a_helixI	CSN7a_helixI
3DID_CbiA_LIG_0-0	PF01656	CbiA	CbiA
3DID_CbiA_LIG_2-0	PF01656	CbiA	CbiA
3DID_Cbl_N3_LIG_0-0	PF02762	Cbl_N3	Cbl_N3
3DID_Cbl_N3_LIG_2-0	PF02762	Cbl_N3	Cbl_N3
3DID_Cbl_N3_LIG_2-25	PF02762	Cbl_N3	Cbl_N3
3DID_ChAPs_LIG_0-0	PF09295	ChAPs	ChAPs
3DID_Chloroa_b-bind_LIG_20-0	PF00504	Chloroa_b-bind	Chloroa_b-bind
3DID_Chromo_LIG_2-0	PF00385	Chromo	Chromo
3DID_Chromo_LIG_2-2	PF00385	Chromo	Chromo
3DID_Chromo_LIG_2-22	PF00385	Chromo	Chromo
3DID_Chromo_LIG_2-48	PF00385	Chromo	Chromo
3DID_Chromo_LIG_6-0	PF00385	Chromo	Chromo
3DID_Chromo_LIG_6-19	PF00385	Chromo	Chromo
3DID_Chromo_LIG_6-24	PF00385	Chromo	Chromo
3DID_Chromo_LIG_6-4	PF00385	Chromo	Chromo
3DID_Chromo_LIG_6-88	PF00385	Chromo	Chromo
3DID_Chromo_shadow_LIG_0-0	PF01393	Chromo_shadow	Chromo_shadow
3DID_CiPC_LIG_0-0	PF15800	CiPC	CiPC
3DID_CiPC_LIG_0-1	PF15800	CiPC	CiPC
3DID_CiPC_LIG_3-0	PF15800	CiPC	CiPC
3DID_CiPC_LIG_4-0	PF15800	CiPC	CiPC
3DID_CiPC_LIG_4-1	PF15800	CiPC	CiPC
3DID_CiPC_LIG_4-2	PF15800	CiPC	CiPC
3DID_CiPC_LIG_4-3	PF15800	CiPC	CiPC
3DID_Complex1_49kDa_LIG_1-0	PF00346	Complex1_49kDa	Complex1_49kDa
3DID_Complex1_49kDa_LIG_1-3	PF00346	Complex1_49kDa	Complex1_49kDa
3DID_Complex1_51K_LIG_2-0	PF01512	Complex1_51K	Complex1_51K
3DID_Complex1_LYR_2_LIG_2-0	PF13233	Complex1_LYR_2	Complex1_LYR_2
3DID_Cpn60_TCP1_LIG_0-0	PF00118	Cpn60_TCP1	Cpn60_TCP1
3DID_Cpn60_TCP1_LIG_0-23	PF00118	Cpn60_TCP1	Cpn60_TCP1
3DID_Cpn60_TCP1_LIG_3-0	PF00118	Cpn60_TCP1	Cpn60_TCP1
3DID_Cpn60_TCP1_LIG_3-3	PF00118	Cpn60_TCP1	Cpn60_TCP1
3DID_Cpn60_TCP1_LIG_5-0	PF00118	Cpn60_TCP1	Cpn60_TCP1
3DID_Cpn60_TCP1_LIG_5-3	PF00118	Cpn60_TCP1	Cpn60_TCP1
3DID_Cpn60_TCP1_LIG_9-0	PF00118	Cpn60_TCP1	Cpn60_TCP1
3DID_Cpn60_TCP1_LIG_9-1	PF00118	Cpn60_TCP1	Cpn60_TCP1
3DID_Cpn60_TCP1_LIG_9-10	PF00118	Cpn60_TCP1	Cpn60_TCP1
3DID_Cpn60_TCP1_LIG_9-11	PF00118	Cpn60_TCP1	Cpn60_TCP1
3DID_Cpn60_TCP1_LIG_9-3	PF00118	Cpn60_TCP1	Cpn60_TCP1
3DID_Cpn60_TCP1_LIG_9-4	PF00118	Cpn60_TCP1	Cpn60_TCP1
3DID_Csm1_LIG_2-0	PF12539	Csm1	Csm1
3DID_Ctf4_C_LIG_0-0	PF20946	Ctf4_C	Ctf4_C
3DID_Ctf8_LIG_2-0	PF09696	Ctf8	Ctf8
3DID_Cullin_LIG_0-0	PF00888	Cullin	Cullin
3DID_Cullin_LIG_0-1	PF00888	Cullin	Cullin
3DID_Cullin_LIG_0-23	PF00888	Cullin	Cullin
3DID_Cullin_LIG_0-8	PF00888	Cullin	Cullin
3DID_Cullin_LIG_1-0	PF00888	Cullin	Cullin
3DID_Cullin_LIG_1-1	PF00888	Cullin	Cullin
3DID_Cullin_LIG_5-0	PF00888	Cullin	Cullin
3DID_Cullin_LIG_5-2	PF00888	Cullin	Cullin
3DID_Cupin_8_LIG_0-0	PF13621	Cupin_8	Cupin_8
3DID_Cupin_8_LIG_0-1	PF13621	Cupin_8	Cupin_8
3DID_Cupin_8_LIG_0-2	PF13621	Cupin_8	Cupin_8
3DID_Cupin_8_LIG_0-37	PF13621	Cupin_8	Cupin_8
3DID_Cupin_8_LIG_0-73	PF13621	Cupin_8	Cupin_8
3DID_Cyclin_N_LIG_1-0	PF00134	Cyclin_N	Cyclin_N
3DID_Cyclin_N_LIG_4-0	PF00134	Cyclin_N	Cyclin_N
3DID_Cyclin_N_LIG_4-1	PF00134	Cyclin_N	Cyclin_N
3DID_Cyclin_N_LIG_4-2	PF00134	Cyclin_N	Cyclin_N
3DID_Cyclin_N_LIG_4-7	PF00134	Cyclin_N	Cyclin_N
3DID_DNA_RNApol_7kD_LIG_0-0	PF03604	DNA_RNApol_7kD	DNA_RNApol_7kD
3DID_DNA_RNApol_7kD_LIG_0-1	PF03604	DNA_RNApol_7kD	DNA_RNApol_7kD
3DID_DNA_RNApol_7kD_LIG_0-2	PF03604	DNA_RNApol_7kD	DNA_RNApol_7kD
3DID_DNA_RNApol_7kD_LIG_2-0	PF03604	DNA_RNApol_7kD	DNA_RNApol_7kD
3DID_DNA_RNApol_7kD_LIG_2-1	PF03604	DNA_RNApol_7kD	DNA_RNApol_7kD
3DID_DNA_RNApol_7kD_LIG_2-2	PF03604	DNA_RNApol_7kD	DNA_RNApol_7kD
3DID_DNA_RNApol_7kD_LIG_3-0	PF03604	DNA_RNApol_7kD	DNA_RNApol_7kD
3DID_DNA_RNApol_7kD_LIG_3-1	PF03604	DNA_RNApol_7kD	DNA_RNApol_7kD
3DID_DNA_RNApol_7kD_LIG_3-2	PF03604	DNA_RNApol_7kD	DNA_RNApol_7kD
3DID_DNA_gyraseB_C_LIG_1-0	PF00986	DNA_gyraseB_C	DNA_gyraseB_C
3DID_DNA_gyraseB_C_LIG_1-2	PF00986	DNA_gyraseB_C	DNA_gyraseB_C
3DID_DNA_gyraseB_C_LIG_1-6	PF00986	DNA_gyraseB_C	DNA_gyraseB_C
3DID_DNA_pol3_beta_2_LIG_0-0	PF02767	DNA_pol3_beta_2	DNA_pol3_beta_2
3DID_DNA_pol3_beta_2_LIG_1-1	PF02767	DNA_pol3_beta_2	DNA_pol3_beta_2
3DID_DNA_pol3_beta_3_LIG_4-0	PF02768	DNA_pol3_beta_3	DNA_pol3_beta_3
3DID_DNA_pol3_beta_3_LIG_4-3	PF02768	DNA_pol3_beta_3	DNA_pol3_beta_3
3DID_DNA_pol_B_LIG_0-0	PF00136	DNA_pol_B	DNA_pol_B
3DID_DSPn_LIG_1-0	PF14671	DSPn	DSPn
3DID_Dcc1_LIG_0-0	PF09724	Dcc1	Dcc1
3DID_Dcc1_LIG_0-15	PF09724	Dcc1	Dcc1
3DID_Dcc1_LIG_0-2	PF09724	Dcc1	Dcc1
3DID_Dcc1_LIG_0-3	PF09724	Dcc1	Dcc1
3DID_Dcc1_LIG_0-4	PF09724	Dcc1	Dcc1
3DID_Dcc1_LIG_2-0	PF09724	Dcc1	Dcc1
3DID_Dcc1_LIG_2-1	PF09724	Dcc1	Dcc1
3DID_Dcc1_LIG_2-6	PF09724	Dcc1	Dcc1
3DID_Dcc1_LIG_2-9	PF09724	Dcc1	Dcc1
3DID_Dicer_PBD_LIG_0-0	PF20930	Dicer_PBD	Dicer_PBD
3DID_Dpy-30_LIG_0-0	PF05186	Dpy-30	Dpy-30
3DID_Dpy-30_LIG_1-0	PF05186	Dpy-30	Dpy-30
3DID_Dynein_light_LIG_1-0	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_1-1	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_1-20	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_1-30	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_6-0	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_6-19	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_6-21	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_6-23	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_6-5	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_6-54	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_6-6	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_6-7	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_6-70	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_6-8	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_7-0	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_7-2	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_7-3	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_7-4	PF01221	Dynein_light	Dynein_light
3DID_Dynein_light_LIG_7-6	PF01221	Dynein_light	Dynein_light
3DID_EABR_LIG_0-0	PF12180	EABR	EABR
3DID_EABR_LIG_1-0	PF12180	EABR	EABR
3DID_EABR_LIG_1-3	PF12180	EABR	EABR
3DID_EB1_LIG_2-0	PF03271	EB1	EB1
3DID_EB1_LIG_2-1	PF03271	EB1	EB1
3DID_EB1_LIG_2-2	PF03271	EB1	EB1
3DID_EB1_LIG_2-4	PF03271	EB1	EB1
3DID_EB1_LIG_2-6	PF03271	EB1	EB1
3DID_EF-hand_7_LIG_1-0	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_1-1	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_1-15	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_1-2	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_1-3	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_1-4	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_1-8	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_12-0	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_12-1	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_13-0	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_3-0	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_5-0	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_5-11	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_5-12	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_5-14	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_5-2	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_5-3	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_5-4	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_5-5	PF13499	EF-hand_7	EF-hand_7
3DID_EF-hand_7_LIG_5-9	PF13499	EF-hand_7	EF-hand_7
3DID_EFhand_Ca_insen_LIG_1-0	PF08726	EFhand_Ca_insen	EFhand_Ca_insen
3DID_EFhand_Ca_insen_LIG_1-1	PF08726	EFhand_Ca_insen	EFhand_Ca_insen
3DID_EFhand_Ca_insen_LIG_1-2	PF08726	EFhand_Ca_insen	EFhand_Ca_insen
3DID_ESSS_LIG_6-0	PF10183	ESSS	ESSS
3DID_EXOSC1_LIG_0-0	PF10447	EXOSC1	EXOSC1
3DID_EXOSC1_LIG_2-0	PF10447	EXOSC1	EXOSC1
3DID_EnY2_LIG_2-0	PF10163	EnY2	EnY2
3DID_Ephrin_lbd_LIG_1-0	PF01404	Ephrin_lbd	Ephrin_lbd
3DID_Epimerase_LIG_0-0	PF01370	Epimerase	Epimerase
3DID_Epimerase_LIG_6-0	PF01370	Epimerase	Epimerase
3DID_Epimerase_LIG_7-0	PF01370	Epimerase	Epimerase
3DID_Epimerase_LIG_7-1	PF01370	Epimerase	Epimerase
3DID_F1F0-ATPsyn_F_LIG_1-0	PF10791	F1F0-ATPsyn_F	F1F0-ATPsyn_F
3DID_FERM_C_LIG_0-0	PF09380	FERM_C	FERM_C
3DID_FERM_M_LIG_2-0	PF00373	FERM_M	FERM_M
