Motif	Domain	Interaction Domain Description	Interaction Domain Name
3DID_FGE-sulfatase_LIG_0-0	PF03781	FGE-sulfatase	FGE-sulfatase
3DID_FGE-sulfatase_LIG_0-2	PF03781	FGE-sulfatase	FGE-sulfatase
3DID_FHA_2_LIG_1-0	PF17913	FHA_2	FHA_2
3DID_FHA_2_LIG_1-1	PF17913	FHA_2	FHA_2
3DID_FHA_2_LIG_1-13	PF17913	FHA_2	FHA_2
3DID_FHA_2_LIG_1-6	PF17913	FHA_2	FHA_2
3DID_FHA_LIG_0-0	PF00498	FHA	FHA
3DID_FHA_LIG_0-10	PF00498	FHA	FHA
3DID_FHA_LIG_0-12	PF00498	FHA	FHA
3DID_FHA_LIG_0-13	PF00498	FHA	FHA
3DID_FHA_LIG_0-18	PF00498	FHA	FHA
3DID_FHA_LIG_0-2	PF00498	FHA	FHA
3DID_FHA_LIG_0-20	PF00498	FHA	FHA
3DID_FHA_LIG_0-24	PF00498	FHA	FHA
3DID_FHA_LIG_0-3	PF00498	FHA	FHA
3DID_Fer2_4_LIG_0-0	PF13510	Fer2_4	Fer2_4
3DID_Fer2_4_LIG_0-3	PF13510	Fer2_4	Fer2_4
3DID_Fibrinogen_C_LIG_0-0	PF00147	Fibrinogen_C	Fibrinogen_C
3DID_Filamin_LIG_0-0	PF00630	Filamin	Filamin
3DID_Filamin_LIG_1-0	PF00630	Filamin	Filamin
3DID_Filamin_LIG_2-0	PF00630	Filamin	Filamin
3DID_Filamin_LIG_2-1	PF00630	Filamin	Filamin
3DID_Filamin_LIG_2-3	PF00630	Filamin	Filamin
3DID_Fimbrial_LIG_0-0	PF00419	Fimbrial	Fimbrial
3DID_Fimbrial_LIG_0-2	PF00419	Fimbrial	Fimbrial
3DID_Fimbrial_LIG_0-4	PF00419	Fimbrial	Fimbrial
3DID_Focal_AT_LIG_2-0	PF03623	Focal_AT	Focal_AT
3DID_Focal_AT_LIG_2-2	PF03623	Focal_AT	Focal_AT
3DID_Focal_AT_LIG_4-0	PF03623	Focal_AT	Focal_AT
3DID_GCP_C_terminal_LIG_4-0	PF04130	GCP_C_terminal	GCP_C_terminal
3DID_GRIM-19_LIG_6-0	PF06212	GRIM-19	GRIM-19
3DID_GRIM-19_LIG_6-1	PF06212	GRIM-19	GRIM-19
3DID_GTP_EFTU_LIG_0-0	PF00009	GTP_EFTU	GTP_EFTU
3DID_GYF_LIG_0-0	PF02213	GYF	GYF
3DID_GYF_LIG_0-1	PF02213	GYF	GYF
3DID_GYF_LIG_0-10	PF02213	GYF	GYF
3DID_Glyco_transf_41_LIG_1-0	PF13844	Glyco_transf_41	Glyco_transf_41
3DID_Glyco_transf_41_LIG_1-1	PF13844	Glyco_transf_41	Glyco_transf_41
3DID_Glycogen_syn_LIG_0-0	PF05693	Glycogen_syn	Glycogen_syn
3DID_Gtr1_RagA_LIG_2-0	PF04670	Gtr1_RagA	Gtr1_RagA
3DID_Gtr1_RagA_LIG_2-4	PF04670	Gtr1_RagA	Gtr1_RagA
3DID_Guanylate_kin_LIG_0-0	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_0-1	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_0-11	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_0-12	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_0-14	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_0-2	PF00625	Guanylate_kin	Guanylate_kin
