Gene,expression
ERI3,0.368738235
RNF220,0.110813214
TMEM53,0.22234347
RPS8,31.99447888
BEST4,16.8155451
PLK3,0.457526898
BTBD19,0.17902359
HECTD3,0.504259053
UROD,0.401305548
HPDL,0.042928083
MUTYH,0.049602159
TOE1,0.313807161
TESK2,0.112733954
PRDX1,4.502788919
AKR1A1,1.507347112
NASP,0.432388692
CCDC17,0.093689102
GPBP1L1,0.480253611
TMEM69,0.145210133
IPP,0.083994087
MAST2,0.753178017
PIK3R3,0.079387204
TSPAN1,10.0580293
POMGNT1,0.374889818
LRRC41,0.381565968
UQCRH,5.622595449
NSUN4,0.041760695
FAAH,0.10232185
MKNK1,0.283713138
ATPAF1,0.151711231
EFCAB14,0.500946322
PDZK1IP1,1.049245612
STIL,0.119875189
CMPK1,1.334465652
FOXD2-AS1,0.010401411
FOXD2,0.148263769
SPATA6,0.051225309
FAF1,0.096369832
RNF11,0.467046371
TTC39A,0.332635394
EPS15,0.222204275
RP11-191G24.1,0.011131494
OSBPL9,0.105714591
NRD1,0.430397661
TXNDC12,0.251078947
KTI12,0.095010523
BTF3L4,0.68502166
ZFYVE9,0.181156849
CC2D1B,0.058204295
PRPF38A,0.46862864
ZCCHC11,0.077521081
COA7,0.062000498
ZYG11B,0.362034584
ECHDC2,0.481482954
SCP2,3.748815311
CPT2,0.348228703
C1orf123,0.32083561
MAGOH,0.942825691
RP5-1024G6.8,0.022171769
YIPF1,0.087568013
HSPB11,0.612661362
LRRC42,0.290552691
RP4-758J24.5,0.017607122
TMEM59,6.493270668
CYB5RL,0.005987909
MRPL37,0.385473953
SSBP3,0.645707244
ACOT11,0.263284954
FAM151A,0.053177912
TTC4,0.038139989
PARS2,0.011442485
TTC22,0.521539891
DHCR24,0.213613359
TMEM61,0.017607122
PCSK9,0.005565747
USP24,0.316315971
PPAP2B,0.13091747
PRKAA2,0.089559834
OMA1,0.048192101
MYSM1,0.304875587
JUN,5.543437114
LINC01135,0.019045588
RP4-794H19.1,0.03047294
FGGY,0.005987909
HOOK1,0.381117263
CYP2J2,0.141596124
NFIA,0.285369619
TM2D1,0.367596153
INADL,0.366563372
L1TD1,0.029517384
USP1,0.35454662
DOCK7,0.139171485
ATG4C,0.043444534
ALG6,0.02257398
ITGB3BP,0.110474798
EFCAB7,0.008469523
DLEU2L,0.005565747
PGM1,0.186868504
RAVER2,0.058223238
JAK1,1.110949179
AK4,0.067873969
LEPROT,0.562982004
PDE4B,0.037736988
WDR78,0.15649361
MIER1,2.366965742
SLC35D1,0.754276269
SERBP1,1.854906814
GADD45A,0.60200614
GNG12,1.722585169
GNG12-AS1,0.066482289
WLS,0.231983917
LRRC40,0.023089143
SRSF11,1.108994306
ANKRD13C,0.077212515
HHLA3,0.137042533
CTH,0.236646021
ZRANB2,1.080813678
FPGT,0.12362106
RP11-17E13.2,0.022171769
CRYZ,0.029623661
TYW3,0.115621138
ACADM,0.586579295
RABGGTB,0.289922704
ST6GALNAC3,0.149396666
PIGK,0.112716399
ZZZ3,0.352095563
USP33,0.263338796
FAM73A,0.162942299
FUBP1,0.198156272
DNAJB4,0.415897121
GIPC2,0.790207483
RP11-386I14.4,0.011975818
IFI44L,0.392752409
PRKACB,0.903261106
SAMD13,0.234678622
RPF1,0.244094444
GNG5,4.889765549
CTBS,0.209414893
SSX2IP,0.075999342
SYDE2,0.008469523
