Gene,avg_log2FC
KBTBD11,4.9544869657266
MCPH1,4.9959066552575
DEFA5,6.83237988123556
MFHAS1,4.9959066552575
PPP1R3B,6.35630137393588
SLC35G5,4.9544869657266
RBPMS,5.20233920930009
KAT6A,4.9959066552575
AC090186.1,4.9544869657266
RP11-110G21.1,4.9544869657266
XKR9,5.4233257851055
CASC9,4.9544869657266
RP11-48B3.4,5.82693370030659
SLC10A5,4.9544869657266
E2F5,4.9959066552575
OTUD6B,4.9544869657266
GRHL2,4.9959066552575
FZD6,4.9959066552575
LRP12,4.9544869657266
LRRC6,5.82693370030659
TG,4.9544869657266
SCXA,5.82693370030659
GS1-393G12.12,6.05592984383174
FAM27D1,6.35630137393588
AL591479.1,4.9959066552575
CEP78,5.20233920930009
KIF27,5.82693370030659
NTRK2,5.88416659025374
ROR2,4.9959066552575
IPPK,4.9544869657266
CCDC180,4.9544869657266
MSANTD3,5.28840173823563
KIF12,5.82693370030659
STOM,5.20233920930009
NR6A1,4.9959066552575
FPGS,4.9544869657266
CERCAM,4.9959066552575
DDX31,5.20233920930009
DNLZ,4.9959066552575
SNAPC4,5.20233920930009
NOTCH1,5.28840173823563
RNF208,5.82693370030659
PFKFB3,4.9544869657266
TRDMT1,5.20233920930009
PTPLA,4.9959066552575
RP11-499P20.2,5.20233920930009
APBB1IP,4.9544869657266
RP11-517P14.2,5.28840173823563
MARCH8,4.9959066552575
FAM21A,4.9544869657266
SPOCK2,5.20233920930009
AP3M1,4.9544869657266
SFTPA2,5.20233920930009
LINC00863,4.9959066552575
KIF20B,4.9544869657266
CYP2C18,4.9544869657266
CYP2C9,5.82693370030659
CCNJ,5.20233920930009
ENTPD7,5.28840173823563
SCD,5.4233257851055
ADAM12,5.28840173823563
TNNI2,5.20233920930009
AC090587.5,5.20233920930009
TEAD1,4.9544869657266
SAA4,5.20233920930009
QSER1,4.9959066552575
CKAP5,4.9544869657266
DDB2,4.9544869657266
TCN1,6.05592984383174
FEN1,4.9959066552575
RP11-727F15.12,4.9959066552575
SLC25A45,4.9544869657266
RP11-755F10.1,6.67292456640391
FAM86C1,4.9959066552575
LRTOMT,4.9544869657266
RP11-21L23.3,5.4233257851055
CD3E,5.28840173823563
TRIM29,5.20233920930009
ROBO3,4.9959066552575
ETS1,4.9959066552575
SENCR,5.20233920930009
C11orf45,4.9544869657266
NCAPD3,6.35630137393588
RP11-234B24.2,4.9544869657266
SPSB2,6.35630137393588
C1RL-AS1,5.28840173823563
FOXJ2,5.82693370030659
KLRG1,4.9959066552575
CLEC2B,4.9959066552575
RP11-277P12.20,4.9959066552575
RP11-392P7.6,4.9544869657266
ARNTL2,6.05592984383174
H3F3C,5.28840173823563
TROAP,4.9544869657266
RACGAP1,4.9544869657266
GPD1,6.35630137393588
DIP2B,4.9544869657266
SLC11A2,4.9959066552575
KRT1,4.9959066552575
SUOX,5.28840173823563
RP11-545N8.3,4.9544869657266
MBD6,5.28840173823563
LRIG3,5.20233920930009
PPM1H,4.9959066552575
PHLDA1,6.67292456640391
CSRP2,5.28840173823563
CCDC41,5.20233920930009
FGD6,4.9959066552575
CDK17,5.20233920930009
SART3,4.9959066552575
SELPLG,4.9959066552575
RBM19,6.35630137393588
ORAI1,4.9959066552575
MPHOSPH9,4.9959066552575
GTF2H3,5.20233920930009
PGAM5,5.28840173823563
ZNF268,5.48280540096519
SKA3,4.9959066552575
C1QTNF9B-AS1,4.9544869657266
BRCA2,4.9544869657266
SMAD9,5.28840173823563
SLC25A30-AS1,5.48280540096519
LCP1,4.9959066552575
UTP14C,5.20233920930009
RNF219,4.9959066552575
CHD8,5.82693370030659
RP11-298I3.4,5.28840173823563
LRRC16B,5.28840173823563
RP11-841O20.2,4.9959066552575
AKAP5,4.9544869657266
DPF3,4.9959066552575
FCF1,6.05592984383174
NEK9,5.4233257851055
SPATA7,4.9959066552575
SLC25A29,6.67292456640391
RP11-382B18.4,5.28840173823563
BUB1B,4.9544869657266
NUSAP1,5.4233257851055
RP11-519G16.3,4.9544869657266
RFX7,4.9544869657266
RORA,4.9959066552575
RP11-279F6.1,5.28840173823563
RP11-1007O24.3,4.9544869657266
ARNT2,5.28840173823563
KLHL25,4.9959066552575
DET1,5.20233920930009
CHSY1,5.82693370030659
