Gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
CMTM4;0.00332663674538272;5.02572514980955;0.1;0.005;1
ENO3;0.00332663674538272;4.45521596703115;0.1;0.005;1
TP53;0.00332663674538272;5.28525416684059;0.1;0.005;1
TRIM37;0.00332663674538272;5.44920033488145;0.1;0.005;1
NECAB3;0.00332663674538272;4.31818079285615;0.1;0.005;1
TGIF2;0.00332663674538272;5.58400851332616;0.1;0.005;1
ZNF335;0.00332663674538272;5.09290181624933;0.1;0.005;1
LONP1;0.00332663674538272;5.3860804285564;0.1;0.005;1
ZNF415;0.00332663674538272;7.80867404121644;0.1;0.005;1
USP18;0.00332663674538272;4.40917396112859;0.1;0.005;1
MORC2;0.00332663674538272;4.66824538025062;0.1;0.005;1
RNPEPL1;0.00338693155359017;0.298997633646531;0.3;0.052;1
HCCS;0.00339323507388554;1.01017623888712;0.5;0.126;1
LTBR;0.00343545651847725;0.645582419075611;0.4;0.084;1
ISOC1;0.00343687209709106;1.48463375922094;0.4;0.089;1
ACSL3;0.00343760332038042;2.19743995853167;0.3;0.058;1
GMDS;0.00349190318132943;1.06712034173687;0.6;0.173;1
COX14;0.00352352711907969;1.0998911271884;0.7;0.257;1
HMGN1;0.00352487623995302;1.39916055328572;0.7;0.298;1
ACOT7;0.00353228751839307;0.788002161482255;0.3;0.052;1
WSB2;0.00353228751839307;0.220311405394374;0.3;0.052;1
MED6;0.00353228751839307;1.23961216663056;0.3;0.052;1
NDUFV2;0.00354581473411263;1.12891324014138;0.9;0.45;1
IFT57;0.00355471763245002;0.311787610613371;0.4;0.089;1
MRPS21;0.00359795364003416;0.587423827291078;0.5;0.126;1
ARPC5L;0.00359795364003416;0.681345070499438;0.5;0.126;1
AKR1C3;0.00363415637808795;1.27326565239489;0.8;0.314;1
MYLK;0.00366146183032981;2.03416372738472;0.2;0.026;1
FYTTD1;0.00366146183032981;3.14399063177085;0.2;0.026;1
SMARCA5;0.00366146183032981;5.17278291047726;0.2;0.026;1
NBN;0.00366146183032981;2.95216557123863;0.2;0.026;1
KIAA1161;0.00366146183032981;4.66505138903783;0.2;0.026;1
COX15;0.00366146183032981;3.02559782708025;0.2;0.026;1
